korean,english,audio
"[휴대 전화 조작음]","[Cell phone operating sound]",1755049319970.mp3
"이쯤에서 퇴장","we'll exit at this point",1755049245383.mp3
"[한숨 쉬며] 가게 1주년 선물이요","[Sighs] A gift for the store's first anniversary",1755049212903.mp3
"결국 꼬셨네, 꼬셨어","So you finally seduced him, you seduced him",1755049177945.mp3
"- [소곤대며] 세무사래, 세무사 - [황 언니의 놀란 숨소리]","- [Whispering] He said he's an accountant - [Hwang Unni's surprised gasp]",1755049172161.mp3
"그래, 좀 나대긴 하지…","Yeah, I do show off a bit...",1755049091364.mp3
"좀 나대는 타입 아니야?","Isn't he the type to show off a bit?",1755049084986.mp3
"똘똘하다고 저번에 사장이 칭찬도 했잖아","She's smart. The boss even praised her last time.",1755049066754.mp3
"아니, 팀장급도 아니고 주임한테 사수를 맡겼다고?","No, not a team leader, but a junior employee was assigned as a mentor?",1755049027517.mp3
"내가 맡겨도 너무 잘 맡겼네","I entrusted it to you, and you did so well,",1755048981639.mp3
"태평이랑 둘이 사귀는 줄 알았는데","I thought you and Taepyeong were dating",1755048960035.mp3
"사수로서 책임감을 가지고 잘 가르쳐 보겠습니다","I will teach you well with a sense of responsibility as your guardian.",1755048909641.mp3
"[미래] 하지만 믿고 맡겨 주신 만큼","[Future] However, as much as you have entrusted me with your trust,",1755048902956.mp3
"그건 제 권한 밖의 일이라","That is beyond my authority,",1755048876758.mp3
"회사에 오래 붙어 있을 수 있게 좀 해 주게","Please make it so he can stay at the company for a long time.",1755048839131.mp3
"회사에 들어오게 하는 데는 성공했으니까","Since I succeeded in getting him into the company",1755048832854.mp3
"신입으로 들어온 막내들이 하는 일부터 하고 있습니다","I'm doing the work that the new maknaes do.",1755048794914.mp3
"우리 남 사원은 잘 적응하고 있나?","Is our Nam employee adapting well?",1755048764219.mp3
"아, 네, 놀라긴 했는데 괜찮습니다","Ah, yes, I was surprised, but it's okay.",1755048754379.mp3
"많이 놀랐지? 내가 갑자기 사수로 지정해서","You must have been surprised? Me suddenly being assigned as your supervisor",1755048742972.mp3
